labels,recall,f1
一带一路,0.8333333333333334,0.9090909090909091
上市,0.9333333333333333,0.9180327868852459
业绩下降,0.8235294117647058,0.6829268292682927
业绩增长,0.5,0.6153846153846154
中标,1.0,1.0
举牌,0.9444444444444444,0.9444444444444444
交易所关注,0.5,0.588235294117647
交易所处罚,0.7142857142857143,0.7692307692307692
交易所问询,0.9473684210526315,0.9473684210526315
借壳,0.7586206896551724,0.8461538461538461
停牌,1.0,0.9600000000000001
其他公告,1.0,0.9776357827476039
冲高,0.7777777777777778,0.823529411764706
净利下降,0.9259259259259259,0.8928571428571429
净利增长,0.8095238095238095,0.8292682926829269
减持,0.9036144578313253,0.8241758241758242
分红,0.9090909090909091,0.9302325581395349
创新低,1.0,1.0
创新高,0.9,0.7200000000000001
利好公告,0.9473684210526315,0.972972972972973
利好消息,0.45714285714285713,0.4
利差公告,0.0,0.0
利差消息,0.5161290322580645,0.41025641025641024
募资,0.875,0.9032258064516129
双十一,0.0,0.0
发展不利,0.375,0.5
发行债券,0.9302325581395349,0.9411764705882352
发行股票,0.0,0.0
可转债,0.96,0.96
回应传闻,0.8409090909090909,0.8505747126436781
回购,0.9411764705882353,0.9696969696969697
基金,0.8333333333333334,0.8695652173913043
增持,0.9292929292929293,0.9435897435897437
复牌,0.9318181818181818,0.942528735632184
大宗交易,0.75,0.7605633802816902
官司案件违规违纪,0.7115384615384616,0.7708333333333333
定期报告,0.9495412844036697,0.9366515837104072
客观涨,0.864516129032258,0.8933333333333333
客观跌,0.7368421052631579,0.7368421052631579
工商变更,1.0,0.7692307692307693
市场占有率利好,0.6666666666666666,0.8
异常交易,1.0,1.0
快速发展,0.6129032258064516,0.5846153846153845
战略合作,0.85,0.85
投建,0.9166666666666666,0.9361702127659574
投资,0.8157894736842105,0.8266666666666665
拓展业务,0.6190476190476191,0.6190476190476191
挂牌,0.9230769230769231,0.888888888888889
摘帽,1.0,1.0
收购并购,0.9882352941176471,0.9385474860335196
改革,0.5454545454545454,0.7058823529411764
政策利好,0.7058823529411765,0.6153846153846153
机构悲观,0.3333333333333333,0.4444444444444444
机构看好,0.7575757575757576,0.7812499999999999
板块走弱,0.7692307692307693,0.7692307692307693
概念板块走强,0.8484848484848485,0.8296296296296296
注册资本变更,0.0,0.0
混改,0.8571428571428571,0.923076923076923
登上龙虎榜,1.0,1.0
经营权变更,0.0,0.0
绩优股,1.0,1.0
聘请高管,0.6,0.6666666666666665
股价倒挂,1.0,1.0
股权激励,0.8245614035087719,0.8623853211009175
股权转让,0.9459459459459459,0.9333333333333332
董事会股东会监事会,0.9911111111111112,0.9409282700421943
证券资讯,0.9230769230769231,0.9600000000000001
证监会受理,0.875,0.9333333333333333
证监会处罚,0.9545454545454546,0.9130434782608695
证监会核准,0.95,0.9500000000000001
评级下调,1.0,1.0
评级利好,0.9375,0.9375
质押,0.9696969696969697,0.9696969696969697
资产冻结,0.7777777777777778,0.8750000000000001
资产重组,0.9622641509433962,0.9189189189189189
资金流入,0.7777777777777778,0.7777777777777778
资金流出,0.6363636363636364,0.6086956521739131
退市,0.9047619047619048,0.9268292682926829
预计下滑,0.8148148148148148,0.8800000000000001
预计增长,0.6785714285714286,0.7450980392156864
首次公开发行股票,0.6666666666666666,0.7272727272727272
高管减持或离职,0.9117647058823529,0.9117647058823528
